Dependency,AvailNorm,throughNorm,successNorm,reliableNORM,compliantNorm,bestpracNorm,latencyNorm,documentNorm
0.018844,0.60215,0.17907,0.59783,0.71429,0.67164,0.75556,0.00348,0.66667
0.012720,0.93548,0.84186,0.97826,0.71429,1.00000,0.75556,0.00018,0.00000
0.032104,0.66667,0.22326,0.67391,0.71429,0.67164,0.66667,0.01075,0.96875
0.002074,0.58065,0.46977,0.58696,0.60714,0.67164,0.71111,0.00042,0.02083
0.079620,0.83871,0.21628,0.94565,0.60714,0.67164,0.48889,0.00155,0.07292
0.001211,0.43011,0.08140,0.42391,0.83929,1.00000,0.73333,0.00119,0.97917
0.036061,0.90323,0.36744,0.96739,0.71429,1.00000,0.75556,0.00124,0.37500
0.047247,0.60215,0.06047,0.60870,0.60714,0.83582,0.48889,0.03665,0.86458
0.036041,0.94624,0.08140,0.94565,0.80357,0.25373,0.86667,0.00356,0.10417
0.014134,0.81720,0.72558,0.82609,0.71429,1.00000,0.75556,0.00066,0.06250
0.017162,0.89247,0.08837,0.96739,0.71429,0.67164,0.66667,0.00018,0.96875
0.054667,0.68817,0.04651,0.68478,0.71429,0.67164,0.75556,0.00051,0.03125
0.093182,0.90323,0.10930,0.90217,0.48214,0.83582,0.71111,0.00747,0.06250
0.049820,0.84946,0.07442,0.85870,0.35714,0.83582,0.35556,0.02332,0.04167
0.020179,0.20430,0.06977,0.19565,0.60714,0.67164,0.71111,0.00101,0.65625
0.034931,0.88172,0.36279,0.95652,0.71429,1.00000,0.75556,0.00134,0.38542
0.011065,0.96774,0.57209,0.98913,0.71429,0.67164,0.75556,0.00207,0.09375
0.257992,0.76344,0.07907,0.77174,0.71429,0.67164,0.75556,0.00737,0.04167
0.060111,0.38710,0.10000,0.38043,0.71429,0.83582,0.55556,0.00353,0.00000
0.022024,0.53763,0.23488,0.55435,0.35714,0.83582,0.46667,0.01272,0.90625
0.046423,0.69892,0.03023,0.69565,0.83929,1.00000,0.73333,0.00050,0.01042
0.054193,0.92473,0.28140,0.97826,0.71429,1.00000,0.75556,0.00182,0.42708
0.509691,0.86022,0.02558,0.95652,0.60714,0.67164,0.48889,0.00670,0.40625
0.070972,0.70968,0.04419,0.70652,0.44643,1.00000,0.48889,0.00018,1.00000
0.040853,0.87097,0.20698,0.95652,0.89286,0.67164,0.91111,0.00163,0.06250
0.023624,0.89247,0.55349,0.96739,0.71429,0.67164,0.66667,0.00211,0.08333
0.052574,0.68817,0.04186,0.69565,0.71429,0.83582,0.55556,0.00148,0.67708
0.102141,0.20430,0.10000,0.19565,0.35714,1.00000,0.35556,0.00790,0.32292
0.009355,0.34409,0.03721,0.34783,0.83929,0.67164,0.62222,0.00018,0.64583
0.059614,0.76344,0.13488,0.76087,0.71429,0.83582,0.84444,0.03382,0.94792
0.040831,0.83871,0.17674,0.84783,0.35714,0.83582,0.35556,0.01279,0.11458
0.073621,0.84946,0.18605,0.94565,0.48214,0.67164,0.53333,0.00013,0.62500
0.015547,0.84946,0.41395,0.84783,0.71429,0.83582,0.75556,0.00066,0.07292
0.057222,0.88172,0.28372,0.95652,0.71429,1.00000,0.75556,0.00216,0.35417
0.037556,0.90323,0.08837,0.96739,0.71429,1.00000,0.75556,0.00801,0.03125
0.421187,1.00000,0.20233,1.00000,0.71429,1.00000,0.75556,0.00091,0.01042
0.041109,0.84946,0.02558,0.94565,0.71429,1.00000,0.75556,0.00260,0.37500
0.100098,0.76344,0.12558,0.76087,0.60714,0.83582,0.48889,0.00622,0.06250
0.051144,0.84946,0.10000,0.84783,0.35714,0.83582,0.35556,0.02348,0.03125
0.039615,0.96774,0.04651,0.98913,0.71429,1.00000,0.75556,0.00173,0.32292
0.014659,0.98925,0.44651,1.00000,0.71429,0.67164,0.26667,0.00018,0.96875
0.198782,0.62366,0.06977,0.61957,0.71429,0.83582,0.55556,0.00111,0.67708
0.032306,0.94624,0.01628,0.97826,0.44643,1.00000,0.55556,0.00139,0.35417
0.059766,0.81720,0.34419,0.82609,0.89286,0.83582,0.95556,0.00139,0.06250
0.092764,0.44086,0.01628,0.43478,0.60714,0.83582,0.48889,0.08179,0.92708
0.040796,0.96774,0.20233,0.98913,0.60714,0.67164,0.60000,0.00897,0.02083
0.485259,0.68817,0.02326,0.69565,0.60714,0.67164,0.60000,0.45484,0.05208
0.033517,0.53763,0.02558,0.55435,0.60714,0.83582,0.48889,0.02663,0.85417
0.045228,0.31183,0.01860,0.31522,0.48214,0.83582,0.42222,0.00324,0.11458
0.022525,0.98925,0.05116,1.00000,0.71429,0.83582,0.55556,0.02377,0.08333
0.055374,0.52688,0.16047,0.52174,0.89286,0.83582,0.91111,0.00163,0.23958
0.015749,0.81720,0.52791,0.82609,0.71429,1.00000,0.75556,0.00091,0.10417
0.028873,0.94624,0.33721,0.98913,0.71429,1.00000,0.75556,0.00562,0.90625
0.842071,0.91398,0.02326,0.91304,0.83929,0.83582,0.73333,0.93742,0.10417
0.020133,0.89247,0.08605,0.96739,0.48214,0.67164,0.53333,0.00120,0.95833
0.051790,0.67742,0.05581,0.67391,0.71429,0.83582,0.66667,0.00320,0.97917
0.025289,0.76344,0.20930,0.76087,0.71429,0.83582,0.75556,0.00169,0.95833
0.131731,0.29032,0.02326,0.28261,0.60714,0.83582,0.48889,0.05712,0.89583
0.016759,0.86022,0.56047,0.94565,0.60714,0.83582,0.71111,0.00042,0.06250
0.091567,0.88172,0.09302,0.95652,0.71429,1.00000,0.66667,0.00103,0.08333
0.202719,0.81720,0.29535,0.82609,0.71429,0.83582,0.55556,0.00115,0.10417
0.060271,0.76344,0.08140,0.77174,0.71429,0.67164,0.66667,0.01950,0.07292
0.069902,0.97849,0.04651,1.00000,0.71429,1.00000,0.75556,0.00144,0.39583
0.095504,1.00000,0.32093,1.00000,0.71429,1.00000,0.66667,0.00018,0.02083
0.056347,0.26882,0.02093,0.26087,0.48214,0.83582,0.42222,0.05429,0.96875
0.047146,0.94624,0.44186,0.97826,0.80357,0.83582,0.86667,0.00103,0.01042
0.086341,0.35484,0.08140,0.34783,0.80357,0.67164,0.86667,0.00383,0.05208
0.043088,0.92473,0.04419,0.97826,0.30357,1.00000,0.48889,0.01091,0.05208
0.075682,0.83871,0.00698,0.84783,0.35714,0.83582,0.35556,0.03447,0.09375
0.027056,0.81720,0.43023,0.82609,0.83929,0.67164,0.82222,0.00115,0.04167
0.015749,0.95699,0.64884,0.98913,0.71429,1.00000,0.75556,0.00018,0.07292
0.071073,0.82796,0.02093,0.82609,0.60714,0.83582,0.71111,0.06974,0.09375
0.138879,0.98925,0.10698,1.00000,0.48214,0.83582,0.42222,0.00321,0.04167
0.013629,0.83871,0.36047,0.94565,0.71429,0.83582,0.26667,0.01117,0.94792
0.051487,0.81720,0.38372,0.82609,0.44643,0.83582,0.66667,0.00115,0.03125
0.021705,0.95699,0.51628,0.98913,0.60714,0.67164,0.48889,0.00465,0.05208
0.031619,0.64516,0.07674,0.64130,0.71429,0.83582,0.75556,0.00559,0.40625
0.279950,0.43011,0.04884,0.42391,0.80357,0.83582,0.86667,0.03919,0.06250
0.001111,0.69892,0.30465,0.69565,0.71429,0.67164,0.75556,0.00042,0.11458
0.107720,0.98925,0.19070,0.98913,0.60714,1.00000,0.73333,0.11685,0.02083
0.093628,0.91398,0.04884,0.92391,0.60714,0.83582,0.17778,0.05642,0.88542
0.019989,0.81720,0.49535,0.82609,0.89286,0.67164,0.91111,0.00139,0.10417
0.057949,0.84946,0.53488,0.94565,0.71429,1.00000,0.66667,0.00501,0.01042
0.258279,0.73118,0.02558,0.72826,0.71429,0.67164,0.75556,0.01950,0.11458
0.050003,0.84946,0.06977,0.84783,0.35714,0.83582,0.35556,0.02318,0.01042
0.695988,0.86022,0.13256,0.95652,0.71429,1.00000,0.75556,0.00091,0.41667
0.016557,0.58065,0.06512,0.58696,0.35714,0.50746,0.46667,0.00115,0.05208
0.015497,1.00000,0.02093,1.00000,0.71429,0.67164,0.75556,0.00157,0.38542
0.005411,0.98925,0.41860,1.00000,0.71429,0.67164,0.75556,0.00037,0.97917
0.028873,0.81720,0.31163,0.82609,0.71429,0.67164,0.75556,0.00163,0.08333
0.254206,0.84946,0.15814,0.84783,0.71429,0.67164,0.66667,0.00018,0.04167
0.063602,0.97849,0.49767,1.00000,0.44643,0.83582,0.55556,0.00018,0.06250
0.017768,1.00000,0.40233,1.00000,0.60714,0.67164,0.71111,0.00042,0.39583
0.393727,0.52688,0.04186,0.53261,0.48214,0.83582,0.64444,0.00181,0.91667
0.138713,0.83871,0.30233,0.94565,0.30357,0.83582,0.48889,0.00042,0.07292
0.110748,0.96774,0.02093,0.98913,0.48214,1.00000,0.53333,0.00465,0.79167
0.087428,0.98925,0.00930,1.00000,0.48214,1.00000,0.64444,0.00332,0.08333
0.038363,0.91398,0.01860,0.96739,0.44643,1.00000,0.55556,0.00187,0.34375
0.043482,0.83871,0.12093,0.84783,0.35714,0.83582,0.35556,0.01297,0.05208
0.103942,0.78495,0.03953,0.79348,0.35714,0.50746,0.57778,0.00161,0.07292
0.004240,0.94624,0.36977,0.97826,0.71429,0.67164,0.66667,0.00018,0.04167
0.137502,0.84946,0.07442,0.85870,0.60714,0.67164,0.71111,0.01310,0.01042
0.006108,0.52688,0.35814,0.52174,0.80357,0.83582,0.86667,0.00091,0.09375
0.018806,0.87097,0.47442,0.95652,0.83929,0.67164,0.73333,0.00460,0.00000
0.033840,0.95699,0.04186,0.98913,0.44643,1.00000,0.55556,0.00182,0.33333
0.060977,0.86022,0.26977,0.94565,0.60714,0.67164,0.48889,0.01153,0.02083
0.054274,0.87097,0.31163,0.95652,0.44643,1.00000,0.55556,0.00139,0.33333
0.003836,0.96774,0.20698,0.98913,0.71429,0.67164,0.75556,0.00018,0.35417
0.012720,0.98925,0.45814,1.00000,0.71429,1.00000,0.75556,0.00731,0.01042
0.151999,0.97849,0.04884,0.94565,0.71429,0.83582,0.26667,0.14322,0.03125
0.058084,0.96774,0.09302,0.97826,0.83929,0.67164,0.82222,0.01870,0.42708
0.022749,0.84946,0.25814,0.94565,0.71429,1.00000,0.75556,0.01975,0.02083
0.076726,0.84946,0.14884,0.84783,0.71429,1.00000,0.75556,0.05549,0.04167
0.004654,0.75269,0.20930,0.75000,0.60714,1.00000,0.60000,0.00093,0.10417
0.021469,0.87097,0.36279,0.86957,0.71429,1.00000,0.66667,0.00203,0.62500
0.093846,0.22581,0.10930,0.21739,0.71429,0.50746,0.66667,0.02128,0.40625
0.047958,0.84946,0.09767,0.84783,0.35714,0.83582,0.35556,0.02103,0.10417
0.015951,0.88172,0.29767,0.88043,0.60714,0.67164,0.48889,0.00030,0.06250
0.127226,0.33333,0.04651,0.32609,0.71429,0.83582,0.55556,0.01975,0.39583
0.025441,0.90323,0.76977,0.96739,0.71429,1.00000,0.75556,0.00018,0.05208
0.022109,0.89247,0.40698,0.96739,0.71429,1.00000,0.66667,0.00066,0.07292
0.018172,0.89247,0.53488,0.95652,0.60714,1.00000,0.73333,0.00211,0.09375
0.019602,0.96774,0.35581,0.98913,0.71429,1.00000,0.75556,0.00239,0.19792
0.113171,0.97849,0.08372,1.00000,0.48214,1.00000,0.53333,0.01045,0.67708
0.029344,1.00000,0.26744,1.00000,0.71429,1.00000,0.75556,0.01524,0.93750
0.017096,0.98925,0.22093,1.00000,0.71429,1.00000,0.75556,0.00010,0.66667
0.036788,0.83871,0.01860,0.94565,0.44643,1.00000,0.55556,0.00178,0.36458
0.027864,0.91398,0.09767,0.96739,0.71429,0.67164,0.75556,0.00308,0.01042
0.019923,0.92473,0.05349,0.97826,0.44643,0.50746,0.55556,0.00521,0.04167
0.059968,0.91398,0.03256,0.96739,0.60714,1.00000,0.71111,0.00931,0.10417
0.002928,1.00000,0.03953,1.00000,0.71429,0.67164,0.66667,0.00042,0.32292
0.034365,0.83871,0.02326,0.94565,0.71429,1.00000,0.75556,0.00163,0.36458
0.897253,0.48387,0.02093,0.48913,0.30357,0.67164,0.35556,0.39906,0.07292
0.023624,0.68817,0.33256,0.69565,0.71429,0.83582,0.66667,0.00127,0.04167
0.017550,0.96774,0.36047,0.98913,0.71429,1.00000,0.66667,0.00368,0.00000
0.127628,0.52688,0.02791,0.53261,0.48214,0.83582,0.42222,0.00071,0.65625
0.041594,0.97849,0.59302,1.00000,0.71429,1.00000,0.75556,0.00018,0.05208
0.018105,0.93548,0.21860,0.97826,0.71429,1.00000,0.75556,0.00010,0.96875
0.015648,0.94624,0.32791,0.98913,0.60714,0.67164,0.60000,0.00008,0.95833
0.005734,0.91398,0.15581,0.91304,0.60714,1.00000,0.60000,0.00193,0.02083
0.032104,0.87097,0.22558,0.95652,0.71429,0.67164,0.75556,0.00888,0.07292
0.022604,0.88172,0.24884,0.95652,0.60714,1.00000,0.60000,0.00157,0.09375
0.026174,0.98925,0.22093,1.00000,0.60714,1.00000,0.71111,0.00804,0.59375
0.054476,0.89247,0.29302,0.96739,0.71429,1.00000,0.75556,0.00211,0.35417
0.037677,1.00000,0.01395,1.00000,0.71429,1.00000,0.75556,0.00139,0.37500
0.038926,0.88172,0.16977,0.88043,0.60714,1.00000,0.60000,0.00992,0.01042
0.036748,0.52688,0.23953,0.52174,0.48214,0.67164,0.42222,0.01612,0.40625
0.040316,0.60215,0.14651,0.59783,0.35714,0.83582,0.35556,0.00203,0.68750
0.085408,0.52688,0.05814,0.53261,0.48214,0.67164,0.64444,0.02591,0.08333
0.042765,0.87097,0.02326,0.95652,0.60714,1.00000,0.71111,0.01018,0.07292
0.037071,0.89247,0.02791,0.95652,0.71429,1.00000,0.75556,0.00216,0.37500
0.041473,0.88172,0.02326,0.95652,0.71429,1.00000,0.75556,0.00178,0.34375
0.044521,1.00000,0.07674,1.00000,0.71429,0.67164,0.75556,0.00018,0.35417
0.026854,0.83871,0.06977,0.94565,0.48214,1.00000,0.64444,0.01159,0.89583
0.010124,0.86022,0.47442,0.94565,0.60714,0.83582,0.17778,0.00011,0.41667
0.036748,0.98925,0.37907,0.98913,0.83929,1.00000,0.73333,0.00018,0.01042
0.017162,0.84946,0.33488,0.84783,0.60714,0.67164,0.71111,0.00066,0.03125
0.038686,1.00000,0.32558,1.00000,0.71429,1.00000,0.75556,0.00231,0.36458
0.030438,0.61290,0.18605,0.61957,0.71429,0.67164,0.55556,0.01516,0.88542
0.029830,0.59140,0.18140,0.58696,0.60714,0.50746,0.60000,0.00460,0.09375
0.215575,0.43011,0.06977,0.42391,0.89286,0.83582,0.91111,0.00715,0.00000
0.048257,0.87097,0.03488,0.95652,0.60714,1.00000,0.71111,0.00786,0.03125
0.056394,0.82796,0.04419,0.83696,0.35714,0.83582,0.35556,0.02896,0.11458
0.005300,0.97849,0.59302,1.00000,0.60714,0.67164,0.35556,0.00242,0.30208
0.020898,0.96774,0.41628,0.98913,0.71429,0.67164,0.75556,0.01202,0.40625
0.026349,0.84946,0.37209,0.84783,0.71429,0.67164,0.75556,0.00042,0.93750
0.050522,0.84946,0.12558,0.84783,0.35714,0.83582,0.35556,0.01868,0.06250
0.041796,0.84946,0.61860,0.94565,0.89286,1.00000,0.91111,0.00042,0.08333
0.222371,0.87097,0.10698,0.86957,0.71429,1.00000,0.66667,0.09712,0.10417
0.023624,0.97849,0.32326,0.98913,0.71429,1.00000,0.66667,0.00066,0.03125
0.240073,0.90323,0.14419,0.96739,0.71429,1.00000,0.75556,0.00066,0.11458
0.003735,0.79570,0.44186,0.80435,0.71429,1.00000,0.66667,0.00109,0.02083
0.050522,0.83871,0.07907,0.84783,0.35714,0.83582,0.35556,0.02435,0.04167
0.049670,0.81720,0.46977,0.82609,0.71429,0.83582,0.55556,0.00308,0.03125
0.159268,0.89247,0.13488,0.90217,0.48214,0.67164,0.42222,0.02970,0.05208
0.060287,0.62366,0.20465,0.63043,0.71429,0.67164,0.66667,0.00085,0.10417
0.037757,0.76344,0.08837,0.77174,0.71429,0.67164,0.75556,0.00036,0.98958
0.109840,0.81720,0.36047,0.82609,0.30357,0.83582,0.35556,0.02796,0.01042
0.018929,0.52688,0.24884,0.52174,0.89286,0.67164,0.91111,0.00079,0.03125
0.033517,0.69892,0.51163,0.69565,0.89286,0.83582,0.91111,0.00066,0.59375
0.047536,0.83871,0.04186,0.84783,0.35714,0.83582,0.35556,0.01670,0.06250
0.059871,0.84946,0.06744,0.84783,0.35714,0.83582,0.35556,0.02681,0.10417
0.016961,0.90323,0.18140,0.96739,0.71429,0.67164,0.75556,0.00236,0.11458
0.013124,0.89247,0.43023,0.96739,0.71429,0.67164,0.66667,0.00018,0.94792
0.059198,0.91398,0.19767,0.96739,0.60714,1.00000,0.60000,0.00408,0.65625
0.008258,0.90323,0.39535,0.96739,0.71429,0.67164,0.26667,0.00491,0.36458
0.014941,0.97849,0.01628,1.00000,0.60714,1.00000,0.60000,0.00646,0.95833
0.035863,0.26882,0.05116,0.26087,0.35714,0.67164,0.35556,0.01380,0.02083
0.086135,0.90323,0.04419,0.90217,0.71429,1.00000,0.75556,0.02371,0.41667
0.164962,0.95699,0.33953,0.98913,0.71429,1.00000,0.75556,0.00018,0.89583
0.101662,0.69892,0.08372,0.69565,0.60714,0.83582,0.48889,0.00839,0.92708
0.175259,0.95699,0.03488,0.98913,0.71429,0.67164,0.75556,0.00066,0.03125
0.024593,0.86022,0.13256,0.95652,0.71429,0.67164,0.66667,0.00738,0.05208
0.014689,0.67742,0.26279,0.67391,0.71429,0.67164,0.66667,0.01473,0.98958
0.126598,0.81720,0.26279,0.82609,0.35714,0.83582,0.35556,0.00042,0.05208
0.301252,0.69892,0.12093,0.69565,0.89286,0.83582,0.91111,0.00139,0.07292
0.011761,0.98925,0.37674,1.00000,0.71429,0.67164,0.66667,0.00018,0.35417
0.022176,0.83871,0.04651,0.94565,0.89286,0.83582,0.91111,0.02303,0.06250
0.069803,0.21505,0.13023,0.21739,0.71429,0.83582,0.66667,0.01514,0.36458
0.057611,0.98925,0.20698,1.00000,0.71429,0.83582,0.26667,0.00445,0.07292
0.113474,0.83871,0.23721,0.94565,0.71429,0.67164,0.75556,0.00042,0.35417
0.040059,0.86022,0.03023,0.94565,0.71429,1.00000,0.75556,0.00236,0.41667
0.565200,0.77419,0.05349,0.77174,0.71429,0.50746,0.75556,0.01896,0.06250
0.033315,0.97849,0.22326,0.98913,0.83929,0.67164,0.82222,0.01033,0.96875
0.007016,0.55914,0.02558,0.56522,0.60714,1.00000,0.60000,0.00103,0.38542
0.055526,0.87097,0.06744,0.95652,0.71429,1.00000,0.75556,0.01129,0.10417
0.042684,0.97849,0.03023,0.98913,0.44643,1.00000,0.55556,0.00240,0.37500
0.052866,0.41935,0.17674,0.41304,0.89286,0.83582,0.91111,0.02748,0.93750
0.088419,0.90323,0.13256,0.96739,0.48214,0.67164,0.53333,0.03928,0.88542
0.021201,0.34409,0.14419,0.34783,0.71429,0.83582,0.75556,0.00142,0.90625
0.045531,0.88172,0.12093,0.95652,0.71429,1.00000,0.66667,0.00429,0.61458
0.081976,0.97849,0.23256,1.00000,0.44643,1.00000,0.55556,0.00134,0.39583
0.044033,0.05376,0.18605,0.05435,0.35714,0.67164,0.46667,0.00147,0.63542
0.042159,0.88172,0.02558,0.95652,0.71429,1.00000,0.75556,0.00173,0.34375
0.075212,0.84946,0.03721,0.85870,0.44643,1.00000,0.42222,0.04185,0.93750
0.341836,0.69892,0.04419,0.69565,0.60714,0.83582,0.48889,0.05924,0.08333
0.040160,0.58065,0.09070,0.57609,0.71429,0.50746,0.75556,0.02093,0.90625
0.051689,0.98925,0.64419,1.00000,0.71429,1.00000,0.66667,0.00308,0.04167
0.067691,0.63441,0.10698,0.63043,0.83929,0.83582,0.73333,0.01874,0.07292
0.013629,0.84946,0.54419,0.84783,0.71429,0.83582,0.66667,0.00042,0.04167
0.054187,0.86022,0.18372,0.85870,0.60714,1.00000,0.60000,0.02191,0.06250
0.020494,0.84946,0.49535,0.84783,0.71429,0.83582,0.75556,0.00042,0.96875
0.038363,0.96774,0.36279,0.98913,0.83929,1.00000,0.82222,0.00066,0.01042
0.030691,0.81720,0.61395,0.82609,0.89286,0.83582,0.91111,0.00139,0.09375
0.017970,0.81720,0.72791,0.82609,0.89286,0.83582,0.91111,0.00066,0.68750
0.008793,0.93548,0.31395,0.93478,0.48214,0.83582,0.08889,0.00627,0.94792
0.035133,0.84946,0.33023,0.94565,0.71429,1.00000,0.75556,0.00202,0.41667
