Training,TRA,TRT,TRS,TRR,TRC,TRB,TRL,TRD
0.724470,0.61290,0.02791,0.61957,0.71429,0.67164,0.63415,0.00176,0.02083
0.035738,0.84946,0.41163,0.84783,0.83929,0.83582,0.80488,0.00084,0.04167
0.026733,0.89247,0.14651,0.90217,0.71429,0.67164,0.73171,0.01336,0.04167
0.035011,0.89247,0.09767,0.95652,0.71429,1.00000,0.73171,0.00390,0.07292
0.026047,0.81720,0.65116,0.82609,0.89286,0.83582,0.90244,0.00275,0.63542
0.022424,0.48387,0.17907,0.48913,0.60714,0.83582,0.56098,0.04203,0.96875
0.029277,0.91398,0.36279,0.96739,0.60714,0.67164,0.43902,0.02569,0.10417
0.017970,0.93548,0.04186,0.97826,0.48214,1.00000,0.48780,0.01789,0.07292
0.027965,0.95699,0.10698,0.98913,0.48214,1.00000,0.48780,0.02760,0.26042
0.043936,0.97849,0.03721,0.98913,0.60714,1.00000,0.68293,0.02053,0.04167
0.040544,0.98925,0.33023,1.00000,0.71429,1.00000,0.73171,0.00447,0.32292
0.117957,0.83871,0.19070,0.94565,0.71429,0.67164,0.63415,0.00466,0.38542
0.018929,0.94624,0.50233,0.97826,0.71429,0.67164,0.63415,0.00370,0.09375
0.025441,0.95699,0.37442,0.98913,0.71429,0.67164,0.73171,0.00574,0.88542
0.015311,0.97849,0.09302,1.00000,0.71429,1.00000,0.73171,0.02146,0.33333
0.013461,0.96774,0.10698,0.98913,0.71429,1.00000,0.51220,0.00084,0.98958
0.055627,0.15054,0.06977,0.15217,0.16071,1.00000,0.43902,0.01226,0.91667
0.037656,0.69892,0.27442,0.69565,0.71429,0.83582,0.51220,0.00370,0.66667
0.018021,0.90323,0.28140,0.96739,0.71429,0.83582,0.51220,0.00466,0.11458
0.011788,0.59140,0.31628,0.58696,0.71429,0.67164,0.63415,0.02659,0.90625
0.016506,0.84946,0.29535,0.94565,0.60714,0.67164,0.56098,0.00030,0.41667
0.052012,0.93548,0.30000,0.97826,0.71429,1.00000,0.73171,0.00390,0.32292
0.049188,0.83871,0.10930,0.84783,0.35714,0.83582,0.29268,0.04084,0.03125
0.014200,0.60215,0.34884,0.59783,0.71429,1.00000,0.73171,0.00179,0.01042
0.009221,0.92473,0.03953,0.97826,0.60714,0.67164,0.56098,0.00068,0.34375
0.038888,0.87097,0.27442,0.95652,0.71429,1.00000,0.73171,0.00466,0.37500
0.064208,0.63441,0.06047,0.64130,0.83929,0.83582,0.70732,0.03274,0.08333
0.023018,0.91398,0.28140,0.96739,0.71429,1.00000,0.63415,0.00203,0.10417
0.046682,0.92473,0.02558,0.97826,0.60714,1.00000,0.68293,0.02129,0.06250
0.052307,0.51613,0.14884,0.52174,0.60714,0.67164,0.43902,0.03060,0.98958
0.035940,0.89247,0.03488,0.95652,0.71429,1.00000,0.73171,0.00428,0.32292
0.048677,0.55914,0.13953,0.55435,0.48214,0.67164,0.19512,0.00131,0.27083
0.057141,0.90323,0.53953,0.96739,0.71429,0.83582,0.19512,0.11316,0.05208
0.018015,0.91398,0.32558,0.96739,0.71429,0.67164,0.19512,0.00917,0.90625
0.048231,0.83871,0.08605,0.84783,0.35714,0.83582,0.29268,0.04510,0.07292
0.044986,0.87097,0.30930,0.95652,0.60714,1.00000,0.68293,0.02148,0.04167
0.264201,0.76344,0.09070,0.77174,0.71429,0.67164,0.73171,0.01099,0.03125
0.023018,0.83871,0.65814,0.94565,0.89286,0.83582,0.90244,0.00848,0.92708
0.013528,0.86022,0.42791,0.94565,0.71429,0.67164,0.63415,0.00036,1.00000
0.019329,0.84946,0.33023,0.94565,0.71429,0.67164,0.19512,0.01657,0.10417
0.424957,0.87097,0.08372,0.95652,0.71429,1.00000,0.73171,0.86753,0.01042
0.931619,0.62366,0.01860,0.61957,0.71429,1.00000,0.63415,0.13036,0.01042
0.038363,0.91398,0.34651,0.96739,0.71429,1.00000,0.73171,0.00304,0.34375
0.063265,0.90323,0.17209,0.90217,0.71429,0.67164,0.63415,0.02465,0.00000
0.031117,0.86022,0.22093,0.94565,0.60714,0.67164,0.56098,0.01463,0.91667
0.008612,0.58065,0.30698,0.57609,0.60714,1.00000,0.56098,0.00119,0.02083
0.027696,0.87097,0.31628,0.95652,0.71429,0.67164,0.73171,0.00889,0.04167
0.347990,0.96774,0.05349,0.97826,0.60714,0.83582,0.09756,0.00885,0.92708
0.014134,0.81720,0.63953,0.82609,0.89286,0.83582,0.90244,0.00418,0.65625
0.013528,0.91398,0.39535,0.96739,0.71429,1.00000,0.63415,0.01454,0.03125
0.035213,1.00000,0.33953,1.00000,0.71429,1.00000,0.73171,0.00361,0.37500
0.034997,0.92473,0.05116,0.97826,0.60714,0.50746,0.43902,0.02202,0.08333
0.018010,0.89247,0.16512,0.90217,0.71429,0.67164,0.73171,0.00456,0.05208
0.014941,0.81720,0.67209,0.82609,0.89286,0.83582,0.90244,0.00370,0.65625
0.007117,0.88172,0.23256,0.88043,0.80357,0.67164,0.85366,0.00119,0.10417
0.015749,0.81720,0.56977,0.82609,0.71429,1.00000,0.73171,0.00227,0.04167
0.074303,0.83871,0.14884,0.94565,0.71429,0.83582,0.19512,0.00767,0.95833
0.092475,0.81720,0.41628,0.82609,0.69643,0.67164,0.78049,0.10551,0.04167
0.166526,0.52688,0.14186,0.52174,0.80357,0.83582,0.85366,0.00454,0.57292
0.041796,0.76344,0.15814,0.76087,0.71429,0.83582,0.63415,0.02581,0.91667
0.024936,0.84946,0.39767,0.84783,0.71429,0.83582,0.73171,0.00131,0.05208
0.018441,0.93548,0.10233,0.97826,0.71429,1.00000,0.63415,0.01247,0.02083
0.022513,0.86022,0.25581,0.94565,0.60714,0.67164,0.68293,0.01579,0.94792
0.668326,0.81720,0.12791,0.82609,0.89286,0.83582,0.90244,0.00084,0.02083
0.609368,0.52688,0.05349,0.53261,0.89286,0.83582,0.90244,0.00119,0.02083
0.018828,0.76344,0.21628,0.77174,0.71429,0.83582,0.73171,0.00179,0.10417
0.029564,0.91398,0.25349,0.96739,0.48214,0.83582,0.60976,0.01545,0.90625
0.026248,0.83871,0.56977,0.94565,0.71429,1.00000,0.73171,0.00084,0.04167
0.059362,0.86022,0.47209,0.94565,0.71429,1.00000,0.63415,0.02187,0.06250
0.020932,0.60215,0.09535,0.60870,0.48214,0.67164,0.19512,0.00131,0.01042
0.076575,0.66667,0.13721,0.67391,0.60714,0.67164,0.43902,0.07833,0.95833
0.006427,1.00000,0.49535,1.00000,0.71429,1.00000,0.63415,0.00338,0.94792
0.167734,0.93548,0.09070,0.94565,0.00000,0.67164,0.12195,0.02256,0.01042
0.079226,0.13978,0.02093,0.14130,0.16071,0.67164,0.43902,0.06727,0.02083
0.161580,0.76344,0.13023,0.76087,0.71429,0.83582,0.63415,0.02617,0.92708
0.023169,0.87097,0.20000,0.95652,0.71429,1.00000,0.73171,0.03286,0.06250
0.035375,0.89247,0.03488,0.95652,0.71429,1.00000,0.73171,0.00409,0.33333
0.023099,0.49462,0.12791,0.50000,0.71429,0.50746,0.73171,0.04213,0.34375
0.048216,0.83871,0.27907,0.94565,0.71429,1.00000,0.73171,0.00409,0.40625
0.023826,1.00000,0.65116,1.00000,0.60714,0.83582,0.43902,0.00370,0.60417
0.044622,0.91398,0.07209,0.96739,0.71429,1.00000,0.73171,0.01537,0.04167
0.076591,0.41935,0.11628,0.41304,0.89286,0.83582,0.90244,0.00291,0.06250
0.034173,0.86022,0.13953,0.94565,0.48214,0.83582,0.36585,0.04588,0.08333
0.032306,0.88172,0.66279,0.95652,0.48214,0.83582,0.36585,0.00753,0.10417
0.026551,0.87097,0.11395,0.95652,0.48214,0.83582,0.36585,0.00036,0.38542
0.049345,0.58065,0.13953,0.57609,0.60714,0.67164,0.43902,0.02811,0.90625
0.053587,0.90323,0.28837,0.96739,0.71429,1.00000,0.73171,0.00390,0.39583
0.017506,0.92473,0.36744,0.97826,0.60714,1.00000,0.68293,0.00022,0.98958
0.005855,0.81720,0.83721,0.82609,0.80357,0.83582,0.85366,0.00131,0.10417
0.014941,0.52688,0.31860,0.52174,0.89286,0.83582,0.90244,0.00275,0.01042
0.183739,0.60215,0.13721,0.59783,0.71429,0.83582,0.51220,0.04242,0.34375
0.021879,0.27957,0.07209,0.28261,0.60714,0.67164,0.43902,0.00115,0.06250
0.082089,0.93548,0.15116,0.97826,0.48214,0.83582,0.43902,0.11099,0.06250
0.027460,0.88172,0.11628,0.89130,0.71429,0.83582,0.19512,0.04863,0.40625
0.030085,0.92473,0.24186,0.93478,0.71429,0.67164,0.63415,0.02665,0.11458
0.488726,0.95699,0.04419,0.98913,0.71429,0.67164,0.73171,0.00060,0.04167
0.193282,0.24731,0.06279,0.23913,0.60714,0.67164,0.68293,0.04217,0.05208
0.063158,0.91398,0.03023,0.96739,0.60714,1.00000,0.68293,0.01871,0.05208
0.013326,0.93548,0.84884,0.97826,0.83929,1.00000,0.80488,0.00036,0.07292
0.021201,0.95699,0.67907,0.98913,0.71429,1.00000,0.73171,0.00801,0.61458
0.035248,0.88172,0.09070,0.95652,0.89286,0.67164,0.90244,0.00749,0.06250
0.035900,0.90323,0.35581,0.96739,0.71429,0.83582,0.19512,0.00514,0.01042
0.041594,0.92473,0.31628,0.97826,0.44643,1.00000,0.51220,0.00418,0.35417
0.120828,0.26882,0.00465,0.27174,0.00000,0.67164,0.12195,0.17708,0.02083
0.280859,0.98925,0.18140,0.97826,0.71429,1.00000,0.73171,0.60879,0.10417
0.015497,0.01075,0.21163,0.01087,0.60714,0.67164,0.43902,0.00172,0.05208
0.020999,0.89247,0.04186,0.95652,0.60714,0.67164,0.43902,0.01183,0.02083
0.032271,0.73118,0.02326,0.72826,0.71429,0.67164,0.73171,0.01716,0.98958
0.056654,0.90323,0.17674,0.91304,0.60714,1.00000,0.43902,0.02198,0.04167
0.023581,0.84946,0.23256,0.94565,0.60714,1.00000,0.68293,0.01507,0.58333
0.081168,0.84946,0.38140,0.94565,0.44643,1.00000,0.63415,0.00084,0.04167
0.014875,0.97849,0.03488,0.98913,0.71429,0.83582,0.63415,0.02181,0.37500
0.056535,0.94624,0.55116,0.97826,0.71429,1.00000,0.63415,0.01040,0.06250
0.162841,0.96774,0.13023,0.98913,0.44643,0.83582,0.36585,0.04696,0.08333
0.019686,0.69892,0.36744,0.69565,0.80357,0.83582,0.85366,0.00514,0.10417
0.041846,0.67742,0.21395,0.67391,0.71429,0.50746,0.73171,0.01428,0.07292
0.051530,0.52688,0.14884,0.53261,0.60714,0.83582,0.56098,0.02589,0.97917
0.022897,0.13978,0.14884,0.14130,0.48214,0.83582,0.36585,0.00313,0.04167
0.044297,0.83871,0.11628,0.84783,0.35714,0.83582,0.29268,0.03675,0.09375
0.049137,0.93548,0.18837,0.93478,0.71429,0.67164,0.19512,0.05198,0.36458
0.054920,0.95699,0.54419,0.98913,0.71429,1.00000,0.63415,0.01040,0.09375
